timestamp,user_id,username,action,resource,resource_sensitivity,status,source_ip,time_classification
21-04-2025 05:58,USR00057,zainab.jo,export_data,File_Share,low,success,192.168.66.185,business_hours
21-04-2025 21:44,USR00079,varun.weber,sql_query,Customer_Vault,high,success,192.168.4.1,business_hours
22-04-2025 09:18,USR00085,varun.rao,api_call,HRIS,high,success,192.168.200.228,night
22-04-2025 15:52,USR00037,ronald.wilson,admin_operation,HRIS,high,success,192.168.45.173,business_hours
23-04-2025 06:57,USR00048,xiulan.colombo,export_data,GL_System,high,success,192.168.235.133,weekend
24-04-2025 00:09,USR00032,pooja.martin,admin_operation,Admin_Console,medium,success,192.168.250.93,night
24-04-2025 03:19,USR00015,sophia.white,login,HRIS,high,success,192.168.241.25,business_hours
27-04-2025 16:47,USR00017,diya.schulz,sql_query,BI_Tool,low,success,192.168.172.14,unusual_hours
28-04-2025 06:43,USR00036,nicholas.harris,admin_operation,Admin_Console,medium,success,192.168.210.146,business_hours
29-04-2025 22:34,USR00010,jacob.patel,sql_query,HRIS,high,success,192.168.208.90,business_hours
30-04-2025 04:20,USR00075,timothy.huang,login,PROD_DB,high,success,192.168.192.58,business_hours
30-04-2025 05:05,USR00068,robert.patel,api_call,PROD_DB,high,failure,192.168.80.176,business_hours
30-04-2025 10:13,USR00070,jeffrey.chen,admin_operation,Customer_Vault,high,success,192.168.250.222,unusual_hours
01-05-2025 10:31,USR00063,daniel.colombo,api_call,Admin_Console,medium,success,192.168.247.189,business_hours
03-05-2025 23:20,USR00011,maria.o'brien,sql_query,HRIS,high,success,192.168.221.166,unusual_hours
04-05-2025 10:11,USR00022,harsh.patel,login,Admin_Console,medium,success,192.168.28.222,business_hours
04-05-2025 15:55,USR00057,zainab.jo,export_data,Customer_Vault,high,success,192.168.83.70,unusual_hours
04-05-2025 21:13,USR00022,harsh.patel,sql_query,SIEM,medium,success,192.168.51.251,business_hours
05-05-2025 15:36,USR00006,kevin.ramirez,login,PROD_DB,high,success,192.168.80.251,business_hours
06-05-2025 12:13,USR00005,george.lim,api_call,Data_Lake,medium,success,192.168.155.23,business_hours
06-05-2025 14:10,USR00010,jacob.patel,admin_operation,Admin_Console,medium,success,192.168.122.151,business_hours
06-05-2025 20:40,USR00097,leila.lopez,admin_operation,GL_System,high,success,192.168.52.28,unusual_hours
07-05-2025 14:27,USR00036,nicholas.harris,export_data,Email_Archive,medium,failure,192.168.194.196,business_hours
07-05-2025 19:55,USR00048,xiulan.colombo,login,File_Share,low,failure,192.168.113.23,business_hours
07-05-2025 22:31,USR00094,donald.schulz,api_call,Customer_Vault,high,success,192.168.33.136,business_hours
08-05-2025 02:31,USR00022,harsh.patel,login,Data_Lake,medium,success,192.168.118.218,business_hours
09-05-2025 01:36,USR00018,meera.burke,login,Admin_Console,medium,success,192.168.53.68,business_hours
10-05-2025 08:50,USR00076,stephen.guo,sql_query,GL_System,high,success,192.168.92.48,business_hours
10-05-2025 14:12,USR00030,yuki.meyer,admin_operation,GL_System,high,success,192.168.116.186,weekend
11-05-2025 03:39,USR00061,sophia.hernandez,file_access,SIEM,medium,success,192.168.38.134,business_hours
11-05-2025 08:29,USR00018,meera.burke,export_data,BI_Tool,low,success,192.168.44.171,business_hours
11-05-2025 10:30,USR00015,sophia.white,sql_query,SIEM,medium,success,192.168.16.233,business_hours
12-05-2025 07:58,USR00059,thomas.lewis,sql_query,Admin_Console,medium,success,192.168.27.56,business_hours
13-05-2025 23:50,USR00044,pooja.mishra,sql_query,HRIS,high,success,192.168.138.141,business_hours
14-05-2025 04:36,USR00054,edward.smith,sql_query,HRIS,high,success,192.168.236.90,business_hours
14-05-2025 08:19,USR00034,harsh.jones,admin_operation,HRIS,high,failure,192.168.29.54,unusual_hours
14-05-2025 08:50,USR00040,nicholas.romano,sql_query,HRIS,high,success,192.168.62.86,business_hours
14-05-2025 13:52,USR00053,timothy.jo,export_data,PROD_DB,high,success,192.168.159.102,business_hours
14-05-2025 20:19,USR00044,pooja.mishra,sql_query,Customer_Vault,high,success,192.168.98.22,business_hours
15-05-2025 09:48,USR00015,sophia.white,login,GL_System,high,success,192.168.234.219,unusual_hours
15-05-2025 10:47,USR00088,william.jang,login,Admin_Console,medium,success,192.168.1.63,unusual_hours
